,time_turkey_local,latitude,longitude,mag
110,2023-02-17 18:34:39,38.5844,39.6476,4.5
111,2023-02-06 08:55:52,37.9912,38.4376,4.5
112,2023-02-06 20:31:33,36.967,36.7482,4.5
113,2023-02-07 09:40:54,38.0531,36.4632,4.5
114,2023-02-06 14:51:22,38.0348,37.6784,4.5
115,2023-02-06 20:46:50,38.0906,37.855,4.5
116,2023-02-06 19:55:37,38.0975,37.4326,4.5
117,2023-02-06 16:00:18,38.1181,36.6664,4.5
118,2023-02-20 03:39:04,38.6915,39.968,4.5
119,2023-02-06 14:35:30,37.9614,37.3495,4.5
120,2023-02-06 11:01:46,36.6629,36.477,4.5
121,2023-02-06 11:58:35,38.054,38.2569,4.5
122,2023-02-06 14:50:06,37.9577,36.3019,4.5
123,2023-02-11 10:55:43,37.0141,36.9831,4.5
124,2023-02-06 08:31:24,38.1466,37.9304,4.4
125,2023-02-06 08:22:50,37.7548,37.9481,4.4
126,2023-02-06 21:02:45,38.1001,36.4785,4.4
127,2023-02-06 17:41:57,38.1202,37.8325,4.4
128,2023-02-06 17:17:19,37.9517,37.3799,4.4
129,2023-02-11 17:38:04,37.9684,36.4994,4.4
130,2023-02-13 14:59:17,36.8373,36.63,4.4
131,2023-02-07 13:56:31,37.8437,36.8362,4.4
132,2023-02-10 05:03:43,38.0894,38.2087,4.4
133,2023-02-06 07:14:19,38.2387,38.581,4.4
134,2023-02-14 16:44:03,35.3775,35.3986,4.4
135,2023-02-06 17:04:50,38.0339,36.5452,4.4
136,2023-02-06 17:51:16,38.0912,38.4342,4.4
137,2023-02-07 07:42:04,36.7885,36.6758,4.4
138,2023-02-14 14:54:12,35.9037,36.1184,4.4
139,2023-02-06 07:47:57,36.7445,36.4537,4.4
140,2023-02-06 06:28:47,38.0757,38.5607,4.4
141,2023-02-07 22:13:49,38.1175,36.9616,4.4
142,2023-02-22 09:01:20,33.7409,34.6135,4.4
143,2023-02-06 22:31:00,38.0636,37.334,4.4
144,2023-02-09 04:38:14,38.4287,40.4361,4.4
145,2023-02-06 06:10:21,37.7473,37.8035,4.4
146,2023-02-07 05:43:28,38.116,36.9288,4.4
147,2023-02-08 09:09:02,36.3573,36.1303,4.4
148,2023-02-14 18:50:41,38.0868,37.1649,4.4
149,2023-02-11 12:03:36,37.9923,38.2507,4.4
150,2023-02-07 01:29:40,38.0525,36.4229,4.4
151,2023-02-09 04:44:20,37.8561,37.679,4.4
152,2023-02-06 15:21:19,38.0517,36.4276,4.4
153,2023-02-07 16:36:42,36.0659,35.8787,4.4
154,2023-02-17 03:35:57,39.1579,40.1603,4.4
155,2023-02-20 04:07:38,38.6477,40.0047,4.4
156,2023-02-11 14:05:17,38.0828,36.6437,4.4
157,2023-02-07 06:02:55,37.2628,37.2357,4.4
158,2023-02-17 17:58:56,37.9449,36.3279,4.4
159,2023-02-07 08:26:31,36.1206,36.3448,4.4
160,2023-02-07 00:02:04,36.54,36.4583,4.4
161,2023-02-07 15:07:04,38.1924,38.2586,4.4
162,2023-02-07 04:34:30,37.4162,37.125,4.4
163,2023-02-07 01:11:37,38.152,38.2301,4.4
164,2023-02-06 22:15:48,37.9712,36.3823,4.4
165,2023-02-11 14:51:41,36.4205,36.3922,4.4
166,2023-02-13 17:28:17,38.1252,38.5928,4.3
167,2023-02-16 08:18:58,38.0947,38.5702,4.3
168,2023-02-09 10:42:09,38.0166,36.6317,4.3
169,2023-02-09 07:34:45,38.0665,38.4587,4.3
170,2023-02-08 05:25:13,37.8719,38.1216,4.3
171,2023-02-21 02:21:14,38.0082,37.3722,4.3
172,2023-02-19 07:07:41,37.2988,36.8648,4.3
173,2023-02-06 12:36:16,37.1957,36.8183,4.3
174,2023-02-11 20:20:02,36.2131,36.1207,4.3
175,2023-02-07 07:16:43,37.8735,37.3422,4.3
176,2023-02-06 07:04:24,37.7879,37.4088,4.3
177,2023-02-08 14:00:20,38.0857,37.825,4.3
178,2023-02-08 06:01:02,37.0315,36.7208,4.3
179,2023-02-06 20:11:48,37.9232,37.3396,4.3
180,2023-02-20 04:49:00,37.9658,36.8106,4.3
181,2023-02-07 05:53:28,37.9084,36.3859,4.3
182,2023-02-06 19:06:44,38.0248,37.0728,4.3
183,2023-02-06 22:35:51,37.4716,37.1628,4.3
184,2023-02-09 12:46:56,38.0162,38.6105,4.3
185,2023-02-06 07:39:48,37.8053,37.4694,4.3
186,2023-02-06 15:48:01,38.0257,36.884,4.3
187,2023-02-12 22:02:31,37.2414,37.0614,4.3
188,2023-02-12 17:30:04,37.8673,36.6552,4.3
189,2023-02-06 22:49:40,38.1141,36.6304,4.3
190,2023-02-20 06:45:39,38.6708,39.9482,4.3
191,2023-02-07 01:26:19,37.8818,37.4134,4.3
192,2023-02-06 14:28:02,37.9576,38.2435,4.3
193,2023-02-10 23:12:47,38.0504,38.6025,4.2
194,2023-02-11 06:38:25,37.983,38.49,4.2
195,2023-02-09 03:32:17,38.4058,39.292,4.2
196,2023-02-10 20:31:25,38.1657,38.5791,4.2
197,2023-02-11 07:47:04,37.7485,36.6102,4.2
198,2023-02-21 13:09:37,37.4007,37.2639,4.2
199,2023-02-06 23:14:12,37.995,36.5183,4.2
200,2023-02-12 15:25:23,36.774,36.7811,4.2
201,2023-02-21 19:06:50,36.2043,36.0917,4.2
202,2023-02-20 22:00:14,36.067,35.9856,4.2
203,2023-02-12 07:29:15,37.8213,38.2487,4.2
204,2023-02-12 07:53:00,37.9259,37.5096,4.2
205,2023-02-08 21:58:54,34.1531,36.2324,4.2
206,2023-02-10 11:17:29,34.995,35.2889,4.2
207,2023-02-11 23:39:05,37.8159,37.9186,4.2
208,2023-02-20 03:58:49,38.668,39.9382,4.2
209,2023-02-07 20:38:01,37.8978,37.6231,4.2
210,2023-02-10 01:06:40,36.9692,36.6923,4.2
211,2023-02-20 02:57:27,38.2671,38.8204,4.2
212,2023-02-11 20:50:17,38.1803,38.729,4.2
