time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T01:04:47.479Z,53.0156,-167.4076,15.3,3.6,ml,,,,0.65,ak,ak0231p7i8i6,2023-02-06T04:00:43.466Z,"98 km E of Nikolski, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-02-06T00:27:24.108Z,40.4281,-126.2056,15.583,3,ml,27,252,1.592,0.94,us,us6000jlls,2023-02-06T02:54:59.589Z,"165 km W of Ferndale, California",earthquake,9.28,9.238,0.05,52,reviewed,us,us
2023-02-05T23:55:48.710Z,35.7463341,-121.2559967,4.75,2.59,md,39,181,0.105,0.13,nc,nc73842386,2023-02-06T02:22:15.885Z,"13km NNW of San Simeon, CA",earthquake,0.44,1.03,0.07,35,automatic,nc,nc
2023-02-05T23:01:55.340Z,19.3065,-65.9301666666667,26.72,3.16,md,11,288,1.001,0.21,pr,pr71395473,2023-02-05T23:17:43.680Z,"Puerto Rico region",earthquake,1.16,16.63,0.0427091811937261,5,reviewed,pr,pr
2023-02-05T22:43:11.315Z,53.1485,-164.5059,30.208,3.2,ml,28,233,1.243,0.49,us,us6000jllk,2023-02-06T00:02:50.446Z,"138 km SE of Akutan, Alaska",earthquake,5.11,13.873,0.091,16,reviewed,us,us
2023-02-05T22:25:46.115Z,59.0944,-151.7411,32.9,2.5,ml,,,,0.77,ak,ak0231nwlhjn,2023-02-05T23:45:10.040Z,"29 km S of Port Graham, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-02-05T21:58:49.467Z,27.208,143.4892,10,4.7,mb,41,137,10.329,0.77,us,us6000jllc,2023-02-05T22:56:47.040Z,"Bonin Islands, Japan region",earthquake,12.32,1.901,0.078,50,reviewed,us,us
2023-02-05T21:40:40.408Z,18.3847,145.3101,538.6,4.3,mb,57,75,4.787,0.36,us,us6000jll6,2023-02-05T22:17:07.040Z,"Pagan region, Northern Mariana Islands",earthquake,12.48,8.017,0.048,122,reviewed,us,us
2023-02-05T21:25:38.390Z,19.2603340148926,-155.417007446289,32.0299987792969,2.57,ml,46,137,,0.140000001,hv,hv73319902,2023-02-05T22:00:50.040Z,"9 km NE of Pāhala, Hawaii",earthquake,0.55,0.660000026,2.44,14,automatic,hv,hv
2023-02-05T20:35:47.576Z,60.2198,-153.3122,162.2,2.9,ml,,,,0.5,ak,ak0231nvgrjn,2023-02-05T20:54:44.040Z,"55 km E of Port Alsworth, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-02-05T20:27:44.840Z,18.911,-68.4868,30,3.65,md,14,162,0.4108,0.67,pr,pr2023036000,2023-02-05T21:27:22.650Z,"34 km NNE of Otra Banda, Dominican Republic",earthquake,4.5,11.9,0.09,8,reviewed,pr,pr
2023-02-05T18:31:33.231Z,59.7158,-153.0799,21.5,3.2,ml,,,,0.23,ak,ak0231nu90ff,2023-02-05T19:40:57.040Z,"58 km E of Pedro Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-02-05T15:56:55.140Z,19.2025,-66.6398333333333,21.32,3.22,md,17,259,0.7291,0.21,pr,pr71395448,2023-02-05T16:34:00.580Z,"81 km N of Arecibo, Puerto Rico",earthquake,0.97,15.16,0.0810653894104467,10,reviewed,pr,pr
2023-02-05T14:46:39.336Z,44.4418,-114.5757,10,2.7,ml,19,69,0.689,0.76,us,us6000jlk5,2023-02-05T17:26:37.040Z,"southern Idaho",earthquake,1.58,1.996,0.066,30,reviewed,us,us
